[http] vpn1.gbr1.unibet.com:80
[http] wap.unibet.com:80
[http] wedden.unibet.com:80
[http] welcome.unibet.com:80
[http] wildcard01.unibet.com:80
[http] www1.unibet.com:80
[http] www2.unibet.com:80
[http] www3.unibet.com:80
[http] www6.unibet.com:80
[http] www.i.unibet.com:80
[http] www.mobile.unibet.com:80
[http] www.mobil.unibet.com:80
[http] www.m.unibet.com:80
[http] www-qa1.unibet.com:80
[http] www-si1.unibet.com:80
[http] www.unibet.com:80
[http] xns.unibet.com:80
[http] zaidejams.unibet.com:80
[http] zaklady.unibet.com:80
[husky] tourdefrance.unibet.com:1310
[hydap] tourdefrance.unibet.com:15000
[iad1] tourdefrance.unibet.com:1030
[iad2] tourdefrance.unibet.com:1031
[iad3] tourdefrance.unibet.com:1032
[ibm-db2-admin] tourdefrance.unibet.com:6789
[ibm-db2] tourdefrance.unibet.com:50000
[ibm-mgr] tourdefrance.unibet.com:3801
[ibm_wrless_lan] tourdefrance.unibet.com:1461
[icad-el] tourdefrance.unibet.com:425
[ici] tourdefrance.unibet.com:2200
[icslap] tourdefrance.unibet.com:2869
[ida-agent] tourdefrance.unibet.com:5051
[ident] tourdefrance.unibet.com:113
[ies-lm] tourdefrance.unibet.com:1443
[igrs] tourdefrance.unibet.com:3880
[iiimsf] tourdefrance.unibet.com:50002
[IIS] tourdefrance.unibet.com:1027
[imaps] tourdefrance.unibet.com:993
[imap] tourdefrance.unibet.com:143
[imgames] tourdefrance.unibet.com:1077
[imqbrokerd] tourdefrance.unibet.com:7676
[imsldoc] tourdefrance.unibet.com:2035
[imsp] tourdefrance.unibet.com:406
[imtc-mcs] tourdefrance.unibet.com:1503
[indy] tourdefrance.unibet.com:5963
[ingreslock] tourdefrance.unibet.com:1524
[instl_bootc] tourdefrance.unibet.com:1068
[instl_boots] tourdefrance.unibet.com:1067
[interbase] tourdefrance.unibet.com:2041
[intermapper] tourdefrance.unibet.com:8181
[intersys-cache] tourdefrance.unibet.com:1972
[interwise] tourdefrance.unibet.com:7778
[invision] tourdefrance.unibet.com:1641
[invokator] tourdefrance.unibet.com:2006
[iphone-sync] tourdefrance.unibet.com:62078
[ipp] tourdefrance.unibet.com:631
[ipulse-ics] tourdefrance.unibet.com:20222
[irc] tourdefrance.unibet.com:6666
[irc] tourdefrance.unibet.com:6667
[irc] tourdefrance.unibet.com:6668
[irc] tourdefrance.unibet.com:6669
[irdmi2] tourdefrance.unibet.com:7999
[iris-xpcs] tourdefrance.unibet.com:714
[isakmp] tourdefrance.unibet.com:500
[isbconference1] tourdefrance.unibet.com:1244
[iscsi] tourdefrance.unibet.com:3260
[isdninfo] tourdefrance.unibet.com:6106
[isis-bcast] tourdefrance.unibet.com:2043
[isis] tourdefrance.unibet.com:2042
[ismserver] tourdefrance.unibet.com:9500
[isoipsigport-1] tourdefrance.unibet.com:1106
[isoipsigport-2] tourdefrance.unibet.com:1107
[iso-tp0] tourdefrance.unibet.com:146
[isqlplus] tourdefrance.unibet.com:5560
[iss-console-mgr] tourdefrance.unibet.com:903
[issd] tourdefrance.unibet.com:1600
[iss-mgmt-ssl] tourdefrance.unibet.com:3995
[iss-realsec] tourdefrance.unibet.com:2998
